id;team;name;position;date_of_birth;nationality
1;37454;Directives application Home Loan Account;Dam;2020-05-03;Trace
2;33370;Metal deposit;Producer;2020-05-02;red Chips Soap
3;30424;Albania web-readiness;Namibia;2020-05-03;Gorgeous Frozen Pants
4;23277;Licensed Savings Account;Cambridgeshire Mississippi;2020-05-03;Credit Card Account Table Small Frozen Sausages
5;96563;cross-platform access;Public-key;2020-05-03;Bahamian Dollar Investment Account
6;83319;Salad;Digitized invoice;2020-05-03;Costa Rica Mayotte
7;18485;Facilitator;Views e-enable Communications;2020-05-02;archive Georgia Aruba
8;96117;navigating;interactive generating compelling;2020-05-03;Faroe Islands Plastic
9;80219;Small;deliverables reinvent 24 hour;2020-05-03;magenta monitor 1080p
10;60595;Identity;Frozen IB;2020-05-03;archive Fantastic Plastic Chicken
